user_id,transaction_date,order_id,order_revenue
4707239.1008432127,2020-11-20,128230,60.0
8156121.2108613531,2020-11-20,228589,59.0
8156121.2108613531,2020-11-20,228589,59.0
37295810.5629224960,2020-11-20,399827,58.0
37295810.5629224960,2020-11-20,399827,58.0
6472499.9883959963,2020-11-20,79619,58.0
6472499.9883959963,2020-11-20,79619,58.0
8043833.5057848398,2020-11-20,33622,55.0
8043833.5057848398,2020-11-20,33622,55.0
12291446.3815334458,2020-11-20,597612,55.0
12291446.3815334458,2020-11-20,597612,55.0
39520514.9339206269,2020-11-20,607860,55.0
39520514.9339206269,2020-11-20,607860,55.0
18766586.3704506512,2020-11-20,125204,49.0
18766586.3704506512,2020-11-20,125204,49.0
8105555.2376937141,2020-11-20,158408,48.0
8105555.2376937141,2020-11-20,158408,48.0
91388989.2835941751,2020-11-20,293093,48.0
91388989.2835941751,2020-11-20,293093,48.0
81646599.9766401752,2020-11-20,401752,47.0
81646599.9766401752,2020-11-20,401752,47.0
3680421.4213771360,2020-11-20,372775,46.0
3680421.4213771360,2020-11-20,372775,46.0
4707239.1008432127,2020-11-20,62222,44.0
4707239.1008432127,2020-11-20,62222,44.0
67244316.0781736432,2020-11-20,333549,44.0
67244316.0781736432,2020-11-20,333549,44.0
72137012.1051607566,2020-11-20,758083,43.0
72137012.1051607566,2020-11-20,758083,43.0
64416999.5439036039,2020-11-20,945733,42.0
64416999.5439036039,2020-11-20,945733,42.0
1943185.6260713896,2020-11-20,442018,40.0
1943185.6260713896,2020-11-20,442018,40.0
80921507.1393350408,2020-11-20,239421,32.0
80921507.1393350408,2020-11-20,239421,32.0
6775372.4463471076,2020-11-20,23574,32.0
6775372.4463471076,2020-11-20,23574,32.0
4093390.4018374057,2020-11-20,535685,30.0
4093390.4018374057,2020-11-20,535685,30.0
4449681.9212786049,2020-11-20,128888,29.0
4449681.9212786049,2020-11-20,128888,29.0
30199985.4509664101,2020-11-20,703971,25.0
30199985.4509664101,2020-11-20,703971,25.0
14233481.9298635081,2020-11-20,313679,24.0
14233481.9298635081,2020-11-20,313679,24.0
85359676.8060209084,2020-11-20,692391,24.0
85359676.8060209084,2020-11-20,692391,24.0
1414295036.1450204305,2020-11-20,439825,23.0
1414295036.1450204305,2020-11-20,439825,23.0
75073588.1859607099,2020-11-20,716548,21.0
75073588.1859607099,2020-11-20,716548,21.0
7158462.4817271255,2020-11-20,457215,19.0
7158462.4817271255,2020-11-20,457215,19.0
4977232.4990575638,2020-11-20,372626,17.0
4977232.4990575638,2020-11-20,372626,17.0
33967208.3195174744,2020-11-20,700263,12.0
33967208.3195174744,2020-11-20,700263,12.0
2026570.1660036366,2020-11-20,595816,8.0
2026570.1660036366,2020-11-20,595816,8.0
8348184265.5640136978,2020-11-20,453710,8.0
8348184265.5640136978,2020-11-20,453710,8.0
88827381.9303945281,2020-11-19,285846,263.0
88827381.9303945281,2020-11-19,285846,263.0
7019543.7153257093,2020-11-19,119233,177.0
7019543.7153257093,2020-11-19,119233,177.0
7019543.7153257093,2020-11-19,119233,177.0
7019543.7153257093,2020-11-19,119233,177.0
81335886.8473727587,2020-11-19,213755,168.0
81335886.8473727587,2020-11-19,213755,168.0
5637710.4936907752,2020-11-19,75585,145.0
5637710.4936907752,2020-11-19,75585,145.0
72967154.2008054722,2020-11-19,236867,132.0
72967154.2008054722,2020-11-19,236867,132.0
3402018.0291081671,2020-11-19,964784,120.0
3402018.0291081671,2020-11-19,964784,120.0
2456393477.5274765122,2020-11-19,147704,111.0
1317256.8451359656,2020-11-19,355017,104.0
1317256.8451359656,2020-11-19,355017,104.0
5561956.8525640382,2020-11-19,165007,97.0
5561956.8525640382,2020-11-19,165007,97.0
2660071.6760619641,2020-11-19,886658,97.0
2660071.6760619641,2020-11-19,886658,97.0
7305312.0773204883,2020-11-19,533863,95.0
7305312.0773204883,2020-11-19,533863,95.0
76589332.6790534083,2020-11-19,618193,92.0
82616163.0426166700,2020-11-19,99241,88.0
5637710.4936907752,2020-11-19,716255,81.0
5637710.4936907752,2020-11-19,716255,81.0
87464267.0084919923,2020-11-19,655191,78.0
87464267.0084919923,2020-11-19,655191,78.0
2554609494.2346657395,2020-11-19,326658,73.0
43950878.2847092801,2020-11-19,195077,68.0
48159916.2278332378,2020-11-19,306564,63.0
48159916.2278332378,2020-11-19,306564,63.0
55800996.4365989462,2020-11-19,39253,62.0
55800996.4365989462,2020-11-19,39253,62.0
26869413.1979446467,2020-11-19,123168,58.0
26869413.1979446467,2020-11-19,123168,58.0
5173366.0437512460,2020-11-19,58261,54.0
5173366.0437512460,2020-11-19,58261,54.0
6628033917.0193794826,2020-11-19,341628,51.0
6628033917.0193794826,2020-11-19,341628,51.0
4789616.5651606218,2020-11-19,382295,50.0
4789616.5651606218,2020-11-19,382295,50.0
4020386.8419933704,2020-11-19,801785,50.0
4020386.8419933704,2020-11-19,801785,50.0
1416421.5108958042,2020-11-19,266933,48.0
1416421.5108958042,2020-11-19,266933,48.0
6628033917.0193794826,2020-11-19,43142,48.0
6628033917.0193794826,2020-11-19,43142,48.0
6035403.0151268164,2020-11-19,17237,48.0
6035403.0151268164,2020-11-19,17237,48.0
3654911.3877750732,2020-11-19,192268,46.0
3654911.3877750732,2020-11-19,192268,46.0
77977630.2926457730,2020-11-19,405352,46.0
77977630.2926457730,2020-11-19,405352,46.0
62220268.4064155620,2020-11-19,709412,44.0
62220268.4064155620,2020-11-19,709412,44.0
8039416.4498627108,2020-11-19,813114,44.0
8039416.4498627108,2020-11-19,813114,44.0
6603816.5140292624,2020-11-19,418725,33.0
6603816.5140292624,2020-11-19,418725,33.0
5407612.3141758192,2020-11-19,991043,32.0
5407612.3141758192,2020-11-19,991043,32.0
1603505.5621824416,2020-11-19,282603,30.0
1603505.5621824416,2020-11-19,282603,30.0
35307335.0847619857,2020-11-19,937885,24.0
35307335.0847619857,2020-11-19,937885,24.0
7013729.3490992264,2020-11-19,132389,20.0
7013729.3490992264,2020-11-19,132389,20.0
43690856.5510407395,2020-11-19,523549,20.0
43690856.5510407395,2020-11-19,523549,20.0
91330895.7800746773,2020-11-19,814732,20.0
91330895.7800746773,2020-11-19,814732,20.0
1706011.8461395358,2020-11-19,427606,15.0
1706011.8461395358,2020-11-19,427606,15.0
20303703.1154814143,2020-11-19,945088,13.0
20303703.1154814143,2020-11-19,945088,13.0
30970636.0210409460,2020-11-19,226537,7.0
30970636.0210409460,2020-11-19,226537,7.0
45732822.6958771748,2020-11-18,6364,514.0
38970589.1095437937,2020-11-18,963985,477.0
80921507.1393350408,2020-11-18,829522,262.0
6134557.2662121134,2020-11-18,662035,176.0
56162479.7328415035,2020-11-18,585747,144.0
8575512403.1238544800,2020-11-18,262049,142.0
8822878673.4974906772,2020-11-18,467915,125.0
3970244.0843404011,2020-11-18,767116,118.0
12344534.0893063989,2020-11-18,102088,115.0
57062019.1930840950,2020-11-18,169826,104.0
7150186.6926554484,2020-11-18,758555,92.0
7150186.6926554484,2020-11-18,758555,92.0
76236262.3256398802,2020-11-18,161831,89.0
