user_id,absolute_purchase_count,average_order_value
38970589.1095437937,1,477.0
35710256.3477753994,1,474.0
41474740.1017155695,1,452.0
2972042.1160295830,1,449.0
43678268.2433515488,1,446.0
7680193331.8740202405,1,443.0
3099934.0263391283,1,404.0
72275845.1755516158,1,395.0
2275313.5266564172,1,394.0
1793657.4173240079,1,386.0
73714607.3371536902,1,377.0
3175490.8020123919,1,376.0
40953348.8523432987,1,375.0
7479349.1949480609,1,364.0
5244179.4867323211,1,362.0
44080603.5651121314,1,361.0
6449198.2526522279,1,355.0
5945718.9383173023,1,354.0
2768703.4866675938,1,352.0
3518681.5571822382,1,347.0
74208315.1089315761,1,345.0
8673800.8985723616,1,342.0
85305313.7561330759,1,341.0
13141816.1294900403,1,340.0
26064119.0281069258,1,339.0
57471045.2261985947,1,326.0
49288108.7792907743,1,325.0
7722668.2787414860,1,324.0
30220372.7620678894,1,323.0
3122197.9178413688,1,320.0
73427198.7537900210,1,314.0
3159757.1355046671,1,314.0
2541331.2931528712,1,311.0
33534334.2982237665,1,309.0
5579434.4769739748,1,307.0
3216886.8311598059,1,305.0
66036121.7799299870,1,305.0
5558273.2492198100,1,305.0
1160488.2375923167,1,305.0
40652857.6013892710,1,300.0
8305679.2059616518,1,299.0
48981361.3028514075,1,299.0
64451489.6117020616,1,298.0
25633378.1133836718,1,294.0
2897030438.4111142859,1,292.0
5084920.8860557208,1,292.0
6488580233.2228683836,1,291.0
33234318.3224761950,1,287.0
7285756326.1533513847,1,285.0
62921407.7385261228,1,282.0
2355616.9460032382,1,280.0
65608889.8290462049,1,279.0
33519070.9701128272,1,278.0
38139183.3747160528,1,276.0
34566418.3175234997,1,272.0
23188793.3504076068,1,272.0
1164842.6741102569,1,271.0
78499362.4704274874,1,270.0
2314652.7895916826,1,270.0
80825724.4005939752,1,266.0
7064082.7860041455,1,266.0
56795799.9574176777,1,265.0
32190182.0699794389,1,263.0
52336592.9891124820,1,262.0
44948793.1646090451,1,262.0
63829798.3654577693,1,258.0
5175868.5309206965,1,256.0
8156646657.1507119761,1,254.0
63837285.4662582710,1,253.0
5820525.4112921353,1,248.0
5370675.2157971187,1,247.0
8889945.3857316896,1,246.0
32985797.1699921045,1,245.0
6006118.2429897577,1,245.0
54019036.7189560758,1,245.0
50546952.1039923649,1,243.0
92422851.0520335541,1,242.0
51216998.9738761037,1,242.0
2251343.9552099455,1,240.0
48482961.7353796273,1,240.0
28916400.9213822241,1,239.0
9101213.9063728582,1,239.0
84636323.8110704850,1,237.0
3310339.4446432370,1,237.0
